index,wave,country,imp_family,imp_religion,happiness,satisfaction_life,univ_imp_boy_girl,housewife_fulfill_work,marital,num_children,satisfaction_finance,confidence_women_org,respect_human,religious_denom,religious_person,justify_gay,justify_abortion,justify_divorce,employment_status,chief_wage,sex,year_birth,age,edu,edu_age_complete,ethnic,survey_year
83118,6,840,1,2,2,7,3,1,6,5,4,4,3,62,1,5,8,10,2,1,2,1942,69,8.0,35.0,840003,2011
83119,6,840,1,4,1,8,3,2,1,1,7,2,1,0,2,10,8,10,5,2,2,1971,40,9.0,34.0,840004,2011
83120,6,840,1,3,2,8,3,2,1,5,9,3,2,53,2,5,3,7,1,1,1,1973,38,9.0,24.0,840002,2011
83121,6,840,1,1,2,8,3,1,1,3,8,3,2,53,1,1,1,5,4,2,2,1950,61,7.0,18.0,840002,2011
83122,6,840,1,1,1,10,4,2,1,1,10,2,2,64,1,9,5,5,4,2,2,1949,62,9.0,22.0,840002,2011
83123,6,840,1,2,2,6,3,3,3,2,2,3,3,64,1,10,5,5,3,1,1,1962,49,9.0,24.0,840002,2011
83124,6,840,2,2,2,7,3,1,6,0,2,3,2,53,1,10,8,7,6,2,2,1993,18,7.0,24.0,840002,2011
83125,6,840,1,2,2,7,4,2,1,2,6,2,2,0,1,4,5,6,1,2,2,1958,53,7.0,26.0,840002,2011
83126,6,840,1,2,2,7,4,2,6,0,5,2,2,53,1,10,3,6,8,1,1,1986,25,9.0,25.0,840002,2011
83127,6,840,1,2,1,8,3,2,6,0,7,2,3,64,1,5,5,5,6,2,2,1988,23,9.0,26.0,840002,2011
83128,6,840,1,4,2,8,4,2,1,3,8,2,2,0,2,10,8,8,1,2,2,1956,55,9.0,55.0,840002,2011
83129,6,840,1,4,2,7,4,2,1,2,2,3,2,0,2,8,8,5,2,2,2,1973,38,9.0,23.0,840002,2011
83130,6,840,1,1,1,7,3,2,1,4,7,2,3,62,1,5,5,5,1,2,2,1955,56,7.0,18.0,840002,2011
83131,6,840,1,1,1,1,4,2,1,2,8,2,2,62,1,6,6,6,4,2,2,1943,68,8.0,25.0,840002,2011
83132,6,840,1,2,2,7,4,4,1,3,3,2,2,62,1,10,9,8,1,2,2,1954,57,9.0,21.0,840002,2011
83133,6,840,1,1,1,8,3,1,1,2,10,3,1,53,1,1,1,1,4,2,2,1938,73,7.0,19.0,840002,2011
83134,6,840,1,3,1,6,4,1,6,0,6,2,3,0,1,5,6,8,1,1,2,1967,44,8.0,47.0,840003,2011
83135,6,840,1,4,2,7,3,4,1,1,8,-2,3,0,3,10,10,10,8,1,1,1935,76,8.0,-2.0,840002,2011
83136,6,840,1,2,2,8,3,2,1,3,5,3,2,64,1,6,5,5,2,2,2,1956,55,8.0,18.0,840002,2011
83137,6,840,1,3,2,8,2,3,1,1,7,2,2,53,3,10,10,10,2,1,1,1947,64,9.0,25.0,840006,2011
83138,6,840,1,1,2,7,4,2,6,0,7,3,-2,-2,1,-2,-2,-2,2,-2,2,1991,20,8.0,23.0,840002,2011
83139,6,840,1,1,2,7,4,2,1,0,5,3,2,53,1,1,1,6,1,2,2,1974,37,9.0,21.0,840002,2011
83140,6,840,1,1,2,7,3,1,1,1,5,2,2,64,1,3,1,5,4,2,2,1946,65,7.0,18.0,840002,2011
83141,6,840,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1969,42,9.0,-2.0,840002,2011
83142,6,840,1,-2,1,10,4,2,1,2,8,3,2,62,1,3,3,5,1,2,2,1952,59,7.0,17.0,840002,2011
83143,6,840,1,2,1,10,4,1,1,2,9,2,2,62,1,7,7,8,1,1,1,1975,36,9.0,22.0,840002,2011
83144,6,840,1,3,3,7,3,3,6,0,4,3,2,0,1,1,1,1,7,1,1,1980,31,7.0,31.0,840002,2011
83145,6,840,1,4,2,8,3,1,3,5,10,3,3,0,1,5,5,5,1,1,2,1948,63,9.0,42.0,840002,2011
83146,6,840,1,1,1,8,3,2,1,1,7,3,3,64,1,4,2,4,1,2,1,1945,66,8.0,21.0,840002,2011
83147,6,840,1,3,1,9,3,3,1,4,9,2,2,64,2,7,8,7,1,1,1,1961,50,9.0,23.0,840002,2011
83148,6,840,1,1,1,10,3,1,5,2,10,3,2,62,1,1,1,-2,4,1,1,1932,79,8.0,32.0,840002,2011
83149,6,840,1,3,2,8,3,2,1,3,7,2,2,62,1,1,2,3,2,1,1,1952,59,9.0,18.0,840002,2011
83150,6,840,1,1,1,9,3,3,1,2,9,3,2,64,1,5,5,5,1,2,1,1974,37,9.0,21.0,840002,2011
83151,6,840,1,3,1,8,3,1,1,2,7,3,2,0,1,7,7,7,1,1,1,1973,38,7.0,38.0,840002,2011
83152,6,840,1,2,1,9,4,1,1,0,8,1,2,64,1,8,6,8,1,2,2,1965,46,8.0,46.0,840006,2011
83153,6,840,1,1,3,6,3,3,6,0,6,4,3,49,1,5,5,5,1,2,2,1980,31,7.0,29.0,840003,2011
83154,6,840,1,2,3,6,4,3,2,0,5,2,3,0,1,5,7,8,6,2,2,1979,32,9.0,32.0,840002,2011
83155,6,840,1,1,1,10,3,1,5,3,10,2,2,62,1,1,1,5,4,1,1,1931,80,7.0,21.0,840002,2011
83156,6,840,1,1,1,9,4,2,6,0,8,2,3,64,1,1,1,5,7,2,1,1989,22,8.0,22.0,840002,2011
83157,6,840,1,3,3,6,3,3,1,2,6,4,2,62,2,5,2,5,1,1,1,1968,43,9.0,20.0,840002,2011
83158,6,840,1,3,2,7,4,2,2,0,8,2,2,0,2,10,8,9,1,1,1,1978,33,9.0,31.0,840002,2011
83159,6,840,1,1,2,3,3,2,1,2,7,3,2,62,1,1,1,4,1,1,2,1970,41,9.0,21.0,840002,2011
83160,6,840,1,2,2,7,4,2,1,4,7,2,3,64,1,8,1,6,4,1,1,1945,66,9.0,23.0,840002,2011
83161,6,840,1,1,2,7,3,1,1,4,3,3,3,53,1,1,1,1,5,2,2,1946,65,7.0,65.0,840003,2011
83162,6,840,2,2,3,6,4,2,1,0,7,3,3,62,2,1,5,5,1,1,2,1960,51,9.0,36.0,840002,2011
