index,wave,country,imp_family,imp_religion,happiness,satisfaction_life,univ_imp_boy_girl,housewife_fulfill_work,marital,num_children,satisfaction_finance,confidence_women_org,respect_human,religious_denom,religious_person,justify_gay,justify_abortion,justify_divorce,employment_status,chief_wage,sex,year_birth,age,edu,edu_age_complete,ethnic,survey_year
83118,2010-2013,United States,Very important,Rather important,Rather happy,7,Disagree,Agree strongly,Single,5 children,4,None at all,Not much respect,Protestant,A religious person,5,8,Always justifiable,Part time,Yes,Female,,,"Some university-level education, without degree",,"US: Black, Non-Hispanic",2011
83119,2010-2013,United States,Very important,Not at all important,Very happy,8,Disagree,Agree,Married,1 child,7,Quite a lot,A great deal of respect for individual human rights,None,Not a religious person,Always justifiable,8,Always justifiable,Housewife,No,Female,,,"University-level education, with degree",,"US: Other, Non-Hispanic",2011
83120,2010-2013,United States,Very important,Not very important,Rather happy,8,Disagree,Agree,Married,5 children,9,Not very much,Fairly muchrespect,Other;Not specific,Not a religious person,5,3,7,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83121,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Agree strongly,Married,3 children,8,Not very much,Fairly muchrespect,Other;Not specific,A religious person,Never justifiable,Never justifiable,5,Retired,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83122,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Strongly disagree,Agree,Married,1 child,Completely satisfied,Quite a lot,Fairly muchrespect,Roman Catholic,A religious person,9,5,5,Retired,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83123,2010-2013,United States,Very important,Rather important,Rather happy,6,Disagree,Disagree,Divorced,2 children,2,Not very much,Not much respect,Roman Catholic,A religious person,Always justifiable,5,5,Self employed,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83124,2010-2013,United States,Rather important,Rather important,Rather happy,7,Disagree,Agree strongly,Single,No children,2,Not very much,Fairly muchrespect,Other;Not specific,A religious person,Always justifiable,8,7,Students,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83125,2010-2013,United States,Very important,Rather important,Rather happy,7,Strongly disagree,Agree,Married,2 children,6,Quite a lot,Fairly muchrespect,None,A religious person,4,5,6,Full time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83126,2010-2013,United States,Very important,Rather important,Rather happy,7,Strongly disagree,Agree,Single,No children,5,Quite a lot,Fairly muchrespect,Other;Not specific,A religious person,Always justifiable,3,6,Other,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83127,2010-2013,United States,Very important,Rather important,Very happy,8,Disagree,Agree,Single,No children,7,Quite a lot,Not much respect,Roman Catholic,A religious person,5,5,5,Students,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83128,2010-2013,United States,Very important,Not at all important,Rather happy,8,Strongly disagree,Agree,Married,3 children,8,Quite a lot,Fairly muchrespect,None,Not a religious person,Always justifiable,8,8,Full time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83129,2010-2013,United States,Very important,Not at all important,Rather happy,7,Strongly disagree,Agree,Married,2 children,2,Not very much,Fairly muchrespect,None,Not a religious person,8,8,5,Part time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83130,2010-2013,United States,Very important,Very important,Very happy,7,Disagree,Agree,Married,4 children,7,Quite a lot,Not much respect,Protestant,A religious person,5,5,5,Full time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83131,2010-2013,United States,Very important,Very important,Very happy,Completely dissatisfied,Strongly disagree,Agree,Married,2 children,8,Quite a lot,Fairly muchrespect,Protestant,A religious person,6,6,6,Retired,No,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83132,2010-2013,United States,Very important,Rather important,Rather happy,7,Strongly disagree,Strongly disagree,Married,3 children,3,Quite a lot,Fairly muchrespect,Protestant,A religious person,Always justifiable,9,8,Full time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83133,2010-2013,United States,Very important,Very important,Very happy,8,Disagree,Agree strongly,Married,2 children,Completely satisfied,Not very much,A great deal of respect for individual human rights,Other;Not specific,A religious person,Never justifiable,Never justifiable,Never justifiable,Retired,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83134,2010-2013,United States,Very important,Not very important,Very happy,6,Strongly disagree,Agree strongly,Single,No children,6,Quite a lot,Not much respect,None,A religious person,5,6,8,Full time,Yes,Female,,,"Some university-level education, without degree",,"US: Black, Non-Hispanic",2011
83135,2010-2013,United States,Very important,Not at all important,Rather happy,7,Disagree,Strongly disagree,Married,1 child,8,No answer,Not much respect,None,An atheist,Always justifiable,Always justifiable,Always justifiable,Other,Yes,Male,,,"Some university-level education, without degree",No answer,"US: White, Non-Hispanic",2011
83136,2010-2013,United States,Very important,Rather important,Rather happy,8,Disagree,Agree,Married,3 children,5,Not very much,Fairly muchrespect,Roman Catholic,A religious person,6,5,5,Part time,No,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
